name,lat,lon,total,dates,charges,countries,gang
"Represa, CA",38.6935237,-121.1592901,75,03/13/25 - 05/15/26,"Arson, Assault, Burglary, Dangerous Drugs, Family Offenses, Forgery, Homicide, Invasion of Privacy, Kidnapping, Obstructing the Police, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Stolen Vehicle, Traffic Offenses, Weapon Offenses","EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, PHILIPPINES, THAILAND, VIETNAM",✅
"Trenton, TN",35.9808073,-88.9416829,67,01/22/25 - 05/15/26,"Assault, Burglary, Damage Property, Dangerous Drugs, Flight / Escape, General Crimes, Invasion of Privacy, Kidnapping, Larceny, Obstructing the Police, Sexual Assault, Traffic Offenses, Weapon Offenses","COLOMBIA, ECUADOR, EL SALVADOR, GUATEMALA, HAITI, HONDURAS, MEXICO, NICARAGUA, VENEZUELA",
"Donaldsonville, LA",30.1051938,-90.9875923,67,01/29/25 - 05/07/26,"Assault, Burglary, Commercialized Sexual Offenses, Conservation, Dangerous Drugs, Flight / Escape, Fraudulent Activities, General Crimes, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Robbery, Stolen Property, Traffic Offenses, Weapon Offenses","CHINA, PEOPLES REPUBLIC OF, CUBA, EL SALVADOR, ETHIOPIA, GUATEMALA, HONDURAS, INDIA, MEXICO, NICARAGUA",
"Loretto, PA",40.5029161,-78.6314019,65,02/03/25 - 05/05/26,"Assault, Burglary, Commercialized Sexual Offenses, Dangerous Drugs, Fraudulent Activities, General Crimes, Homicide, Immigration, Obstructing Judiciary, Congress, Legislature, Etc., Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Traffic Offenses, Weapon Offenses","BRAZIL, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, CUBA, DOMINICAN REPUBLIC, ECUADOR, EL SALVADOR, GEORGIA, GHANA, GUATEMALA, HONDURAS, INDIA, MEXICO, NIGERIA, ROMANIA, THAILAND, UNITED KINGDOM, VENEZUELA",✅
"Douglas, GA",33.6995565,-84.7622973,64,02/23/25 - 05/19/26,"Assault, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Invasion of Privacy, Kidnapping, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Traffic Offenses, Weapon Offenses","DOMINICAN REPUBLIC, EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, NICARAGUA, PERU, VENEZUELA",
"Ray Brook, NY",44.2986109,-74.0754939,62,01/27/25 - 05/07/26,"Assault, Burglary, Dangerous Drugs, Fraudulent Activities, General Crimes, Homicide, Immigration, Kidnapping, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Threat, Weapon Offenses","BURKINA FASO, CANADA, CUBA, DOMINICAN REPUBLIC, EL SALVADOR, GUATEMALA, HONDURAS, JAMAICA, MEXICO, POLAND, UNITED KINGDOM",✅
"Edgefield, SC",33.7635851,-81.9759066,61,02/19/25 - 05/20/26,"Assault, Burglary, Dangerous Drugs, Family Offenses, Flight / Escape, Immigration, Invasion of Privacy, Liquor, Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Traffic Offenses, Weapon Offenses","COLOMBIA, EL SALVADOR, GUATEMALA, HONDURAS, JAMAICA, MEXICO, VENEZUELA",
"Monroe, LA",32.5025471,-92.116219,60,02/22/25 - 05/05/26,"Arson, Assault, Damage Property, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, General Crimes, Larceny, Obstructing the Police, Public Peace, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Stolen Vehicle, Traffic Offenses","COSTA RICA, GUATEMALA, HONDURAS, JAMAICA, MEXICO, NEPAL, NICARAGUA, NIGERIA, SUDAN, VENEZUELA",
"Rocky Mount, VA",36.97771268,-79.85418858,57,06/03/25 - 05/11/26,"Assault, Fraudulent Activities, General Crimes, Immigration, Kidnapping, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Stolen Property, Traffic Offenses","EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, NICARAGUA, VENEZUELA",
"Saluda, SC",34.0015232,-81.7720522,57,02/11/25 - 05/16/26,"Assault, Commercialized Sexual Offenses, Dangerous Drugs, Family Offenses, Fraudulent Activities, General Crimes, Larceny, Liquor, Obstructing the Police, Public Peace, Robbery, Traffic Offenses","EL SALVADOR, GUATEMALA, HONDURAS, MEXICO",
