name,lat,lon,total,dates,charges,countries,gang
"Woodstown, NJ",39.6515027,-75.3282454,14,01/22/25 - 04/22/26,"Assault, Burglary, Immigration, Larceny, Weapon Offenses","ECUADOR, GUATEMALA, GUINEA, HONDURAS, MEXICO, PERU, VENEZUELA",
"Monticello, MS",31.5536678,-90.1072865,14,04/01/25 - 04/05/26,"Conservation, Family Offenses, General Crimes, Immigration, Invasion of Privacy, Public Peace, Sexual Assault, Traffic Offenses","GUATEMALA, MEXICO, NICARAGUA",
"Henderson, TN",35.6418311,-88.3949437,14,02/10/25 - 04/29/26,"Assault, Forgery, General Crimes, Larceny, Liquor, Robbery, Traffic Offenses","COLOMBIA, GUATEMALA, HONDURAS, MEXICO",
"Lafayete, LA",30.2262187,-92.0178202,14,12/07/25 - 04/09/26,"Assault, General Crimes, Sexual Assault, Traffic Offenses","GUATEMALA, HONDURAS, MEXICO, NICARAGUA, VENEZUELA",
"Indianola, IA",41.3604966,-93.5613292,14,05/19/25 - 05/08/26,"Assault, Dangerous Drugs, General Crimes, Traffic Offenses","COLOMBIA, ECUADOR, EL SALVADOR, HONDURAS, MEXICO, NICARAGUA",✅
"Altamont, TN",35.4295186,-85.7230316,14,02/14/25 - 04/10/26,"Assault, Dangerous Drugs, General Crimes, Invasion of Privacy, Larceny, Traffic Offenses","EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, NICARAGUA, VENEZUELA",✅
"Bowling Green, OH",41.3747744,-83.6513229,14,11/25/25 - 05/20/26,"Assault, Dangerous Drugs, Family Offenses, Forgery, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Traffic Offenses","COLOMBIA, EL SALVADOR, HONDURAS, MEXICO, TURKIYE, VENEZUELA",
"Alpine, TX",30.3602181,-103.6628596,13,06/02/25 - 11/07/25,"Assault, Immigration, Liquor","EL SALVADOR, GUATEMALA, MEXICO, MOROCCO",
"Lagrange, IN",41.6372578,-85.4216948,13,08/14/25 - 05/16/26,"Fraudulent Activities, General Crimes, Homicide, Traffic Offenses, Weapon Offenses","BELIZE, HONDURAS, MEXICO, NICARAGUA",
"Kershaw, SC",34.3334398,-80.5669895,13,02/20/25 - 05/01/26,"Assault, Dangerous Drugs, Homicide, Obstructing the Police, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Traffic Offenses","EL SALVADOR, GUATEMALA, MEXICO",
"Orient, OH",39.805402,-83.1519626,13,02/06/25 - 05/13/26,"Assault, Dangerous Drugs, Forgery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Stolen Property","COLOMBIA, GUATEMALA, HAITI, MEXICO, NIGERIA, STATELESS",
"Eureka, KS",37.8216366,-96.2905851,13,02/05/25 - 03/28/26,"Assault, Dangerous Drugs, Immigration, Traffic Offenses","EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, NICARAGUA, VENEZUELA",✅
"Delphi, IN",40.5875371,-86.6750059,13,08/29/25 - 05/01/26,"Fraudulent Activities, General Crimes, Traffic Offenses","EL SALVADOR, GUATEMALA, HAITI, HONDURAS, MEXICO, NICARAGUA",
"Trenton, SC",33.7416558,-81.8423388,13,01/28/25 - 03/29/26,"Assault, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Traffic Offenses, Weapon Offenses","ECUADOR, EL SALVADOR, GUATEMALA, HONDURAS, MEXICO",
"Bellefontaine, OH",40.3611643,-83.7596557,13,03/05/25 - 02/26/26,"General Crimes, Larceny, Obstructing the Police, Public Peace, Traffic Offenses, Weapon Offenses","GUATEMALA, HONDURAS, MEXICO, NICARAGUA, VENEZUELA",
"Dermott, AR",33.52539,-91.4359538,13,04/23/25 - 03/25/26,"Assault, Dangerous Drugs, Sexual Assault, Weapon Offenses","EL SALVADOR, GUATEMALA, HONDURAS, LAOS, MARSHALL ISLANDS, MEXICO, MICRONESIA, FEDERATED STATES OF, THAILAND",
"Shertz, TX",29.5641617,-98.26957013,13,01/28/25 - 03/22/26,"Immigration, Traffic Offenses","GUATEMALA, HONDURAS, MEXICO",
"Somers, CT",41.9855972,-72.4473979,13,02/28/25 - 05/12/26,"Assault, Burglary, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Robbery, Sexual Assault, Weapon Offenses","CHILE, COLOMBIA, DOMINICAN REPUBLIC, ECUADOR, EL SALVADOR, GUATEMALA, MEXICO, PERU, SOUTH KOREA, SYRIA, VENEZUELA",✅
"Fergus Falls, MN",46.283015,-96.077558,13,02/03/25 - 05/01/26,"Assault, Burglary, Dangerous Drugs, Flight / Escape, Fraudulent Activities, Sexual Assault, Traffic Offenses","BOSNIA-HERZEGOVINA, GERMANY, GUATEMALA, HONDURAS, MEXICO, NICARAGUA",
"Elizabeth City, NC",36.3010192,-76.2203699,13,03/12/25 - 04/28/26,"Arson, Assault, Dangerous Drugs, General Crimes, Obstructing Judiciary, Congress, Legislature, Etc., Sex Offenses (Not Involving Assault or Commercialized Sex), Traffic Offenses","EL SALVADOR, GUATEMALA, HONDURAS, MEXICO",
"Boscawen, NH",43.315187,-71.621246,13,01/23/25 - 04/17/26,"Assault, Dangerous Drugs, Family Offenses, Forgery, Larceny, Stolen Property, Weapon Offenses","BRAZIL, CHINA, PEOPLES REPUBLIC OF, DOMINICAN REPUBLIC, HONDURAS, LAOS, MEXICO, VENEZUELA",✅
"Marinette, WI",45.3834983,-88.0409574,13,02/12/25 - 05/07/26,"Assault, Dangerous Drugs, Immigration, Obstructing the Police, Traffic Offenses","MEXICO, NICARAGUA",
"Rushville, IN",39.6080469,-85.4453688,13,04/30/25 - 04/08/26,"Assault, Burglary, Dangerous Drugs, General Crimes, Obstructing the Police, Traffic Offenses","EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, NICARAGUA, VENEZUELA",
"Lake City, MI",44.335287,-85.215046,12,08/02/25 - 04/02/26,"Assault, Forgery, Public Peace, Sexual Assault, Traffic Offenses","MEXICO, NICARAGUA",
"Guayama, PR",18.0179594,-66.1465019,12,04/15/25 - 04/29/26,"Assault, Dangerous Drugs, Fraudulent Activities, Smuggling","DOMINICAN REPUBLIC, UNITED KINGDOM, UNITED STATES, VENEZUELA",
"Tarboro, NC",35.8968236,-77.5358049,12,05/22/25 - 05/06/26,"Assault, Burglary, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Traffic Offenses","EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, PERU",
"Brooklyn, CT",41.7881541,-71.9497957,12,01/24/25 - 04/07/26,"Assault, Commercialized Sexual Offenses, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault","BRAZIL, COLOMBIA, DOMINICAN REPUBLIC, ECUADOR, GUATEMALA, HONDURAS, MEXICO",
"Morrilton, AR",35.154026,-92.7429266,12,04/08/25 - 02/06/26,"Assault, Dangerous Drugs, Immigration, Traffic Offenses","CHINA, PEOPLES REPUBLIC OF, GUATEMALA, MEXICO, UNITED KINGDOM, VENEZUELA",
"Minersville, PA",40.6906451,-76.2621697,12,07/03/25 - 05/11/26,"Assault, Dangerous Drugs, General Crimes, Homicide, Immigration, Sex Offenses (Not Involving Assault or Commercialized Sex)","EL SALVADOR, HONDURAS, JAMAICA, MEXICO, VENEZUELA, VIETNAM",✅
"Westfield, NY",42.32228,-79.578103,12,01/15/26 - 01/16/26,,MEXICO,
"Silver Springs, MD",39.705613,-78.3636706,12,02/11/25 - 04/22/26,"Assault, General Crimes, Invasion of Privacy, Kidnapping, Sexual Assault","EL SALVADOR, GUATEMALA, HONDURAS, KENYA, NICARAGUA",
"Charles City, IA",43.0662177,-92.6794258,12,02/13/25 - 03/22/26,"Assault, Family Offenses, Flight / Escape, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Traffic Offenses","DOMINICAN REPUBLIC, GUATEMALA, HONDURAS, MEXICO, NICARAGUA",
"Hartford, KY",37.4511591,-86.9091596,12,01/30/25 - 05/12/26,"Assault, Damage Property, Family Offenses, Fraudulent Activities, Sexual Assault, Traffic Offenses","GUATEMALA, MEXICO",
"State Farm, VA",37.5030802,-77.4771958,12,02/26/25 - 01/20/26,"Assault, Forgery, Homicide, Robbery, Sexual Assault, Traffic Offenses","CUBA, EL SALVADOR, GUATEMALA, HONDURAS, MEXICO",
"Mt Holly, NJ",39.9928898,-74.7876624,12,05/02/25 - 01/08/26,"Assault, Larceny, Sexual Assault, Traffic Offenses","BRAZIL, CHINA, PEOPLES REPUBLIC OF, GUATEMALA, GUYANA, INDIA, MEXICO, ROMANIA, RUSSIA, TURKIYE",
"Windsor, NC",35.9984925,-76.9460641,12,03/06/25 - 01/14/26,"Assault, Dangerous Drugs, Family Offenses, Kidnapping, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Traffic Offenses","CUBA, GUATEMALA, HONDURAS, MEXICO",
"Lexington, VA",37.7840208,-79.4428157,12,03/31/25 - 04/13/26,"Assault, Family Offenses, General Crimes, Larceny, Public Peace, Robbery, Traffic Offenses","CUBA, ECUADOR, GUATEMALA, HONDURAS, INDIA, MEXICO, VENEZUELA",
"Huntingdon, TN",36.0008612,-88.4280423,12,03/28/25 - 05/19/26,"Assault, Dangerous Drugs, General Crimes, Obstructing the Police, Traffic Offenses","GUATEMALA, HONDURAS, MEXICO",
"Huntsville, AR",36.0884253,-93.7375258,12,07/22/25 - 05/15/26,"Assault, Dangerous Drugs, Flight / Escape, General Crimes, Immigration, Obstructing the Police, Traffic Offenses","EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, PERU, VENEZUELA",
"Snow Hill, NC",35.4553556,-77.6707275,12,02/04/25 - 05/15/26,"Assault, Dangerous Drugs, Flight / Escape, Fraudulent Activities, General Crimes, Obstructing the Police, Robbery, Traffic Offenses","HONDURAS, MEXICO",
"Union City, TN",36.4242303,-89.0570096,12,03/01/25 - 03/08/26,"Dangerous Drugs, Family Offenses, Homicide, Immigration, Sexual Assault, Stolen Property, Traffic Offenses","DOMINICAN REPUBLIC, GUATEMALA, HONDURAS, MEXICO, NICARAGUA",
"Fort Dodge, IA",42.5044017,-94.1910044,12,03/28/25 - 05/07/26,"Assault, Burglary, Dangerous Drugs, Flight / Escape, General Crimes, Larceny, Traffic Offenses","CUBA, GUATEMALA, HONDURAS, IRAQ, MEXICO, SOUTH SUDAN",
"Alamo, TN",35.7847957,-89.1172548,12,02/18/25 - 05/16/26,"Assault, Fraudulent Activities, Homicide, Robbery, Traffic Offenses","GUATEMALA, HONDURAS, MEXICO",
"Port St. Lucie, FL",27.2939333,-80.3503283,12,02/10/25 - 12/15/25,"Homicide, Immigration, Obstructing Judiciary, Congress, Legislature, Etc., Traffic Offenses","CUBA, GUATEMALA, HONDURAS, INDIA, MEXICO",
"Haynesville, VA",37.9501331,-76.6624565,12,06/03/25 - 04/24/26,"Homicide, Kidnapping, Larceny, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault","BOLIVIA, EL SALVADOR, MEXICO",
"Kilona, LA",30.5042756,-91.1099329,11,07/12/25 - 04/09/26,"Assault, Burglary, Dangerous Drugs, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Traffic Offenses","BELIZE, BRAZIL, ECUADOR, EL SALVADOR, HONDURAS, MAURITANIA, MEXICO",
"Larned, KS",38.1805693,-99.098713,11,02/25/25 - 05/15/26,"Damage Property, Kidnapping, Robbery, Sexual Assault, Traffic Offenses","CUBA, GUATEMALA, HONDURAS, MEXICO",
"Laplace, LA",30.0771675,-90.485784,11,03/06/25 - 04/22/26,"Assault, Dangerous Drugs, Family Offenses, Obstructing the Police, Traffic Offenses","COLOMBIA, GUATEMALA, HONDURAS, JORDAN, MEXICO, NICARAGUA",
"Wallkill, NY",41.4636977,-74.3724212,11,02/28/25 - 01/07/26,"Homicide, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault","BRAZIL, BURKINA FASO, EL SALVADOR, GUATEMALA, HONDURAS, ITALY, JAMAICA, MEXICO",
"Belington, WV",39.025097,-79.9355873,11,02/27/25 - 05/05/26,"Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Immigration, Robbery, Traffic Offenses","BRAZIL, CHINA, PEOPLES REPUBLIC OF, ECUADOR, HONDURAS, MEXICO",
"Barstow, MD",38.5254,-76.6160699,11,02/21/25 - 02/11/26,"Assault, Burglary, Damage Property, Dangerous Drugs, Flight / Escape, Fraudulent Activities, General Crimes, Obstructing Judiciary, Congress, Legislature, Etc.","EL SALVADOR, GUATEMALA, HONDURAS, PERU, ROMANIA",
"Litchfield, MN",45.1271847,-94.5280474,11,01/27/25 - 05/20/26,"Assault, Dangerous Drugs, Obstructing the Police, Traffic Offenses","MEXICO, NICARAGUA",
"Stillwell, OK",35.8043732,-94.5912124,11,04/01/25 - 10/07/25,"General Crimes, Liquor, Obstructing the Police, Traffic Offenses","EL SALVADOR, GUATEMALA, MEXICO",
"Elkton, KY",36.8100425,-87.1541675,11,02/19/25 - 04/28/26,"Assault, Flight / Escape, Obstructing Judiciary, Congress, Legislature, Etc., Public Peace, Traffic Offenses, Weapon Offenses","MEXICO, NICARAGUA",
"Ely, NV",39.2480588,-114.891718,11,04/11/25 - 05/13/26,"Assault, Dangerous Drugs, Family Offenses, Homicide, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault","GUATEMALA, HONDURAS, MEXICO",✅
"Tucker, AR",34.4434577,-91.9559244,11,02/21/25 - 03/24/26,"Assault, Damage Property, Flight / Escape, Homicide, Robbery, Sexual Assault","EL SALVADOR, GUATEMALA, HONDURAS, LAOS, MEXICO, SAUDI ARABIA, VIETNAM",✅
"Hollidaysburg, PA",40.430774,-78.3900826,11,04/25/25 - 01/21/26,"Assault, Burglary, Damage Property, Dangerous Drugs, Fraudulent Activities, Larceny, Traffic Offenses","CANADA, CHILE, CHINA, PEOPLES REPUBLIC OF, DOMINICAN REPUBLIC, GUATEMALA, MEXICO, UNITED KINGDOM",
"Mc Lean, VA",37.4921765,-77.3976355,11,07/02/25 - 05/18/26,Assault,"EL SALVADOR, GUATEMALA, HONDURAS, IRAN, ISRAEL",✅
"Collins, MS",31.6457944,-89.5553297,11,04/17/25 - 05/19/26,"Assault, Burglary, Dangerous Drugs, General Crimes, Traffic Offenses","EL SALVADOR, HONDURAS, MEXICO",
"Ste Genevieve, MO",37.88958,-90.1856638,11,04/01/25 - 10/16/25,"Assault, Dangerous Drugs, General Crimes, Immigration, Larceny, Obstructing the Police, Traffic Offenses","COLOMBIA, GUATEMALA, HONDURAS, MEXICO",
"Arcadia, LA",32.5489683,-92.9217754,11,05/08/25 - 02/04/26,"Assault, General Crimes, Immigration, Traffic Offenses","HONDURAS, MEXICO, VENEZUELA",
"Oxford, AL",33.6149211,-85.8339391,11,03/27/25 - 05/13/26,"Assault, General Crimes, Obstructing Judiciary, Congress, Legislature, Etc., Traffic Offenses","DOMINICAN REPUBLIC, GUATEMALA, HONDURAS, MEXICO, NICARAGUA",
"Carrollton, AL",33.2617871,-88.0950263,11,03/12/25 - 04/21/26,"Conservation, Fraudulent Activities, General Crimes, Immigration, Obstructing the Police, Traffic Offenses, Weapon Offenses","GUATEMALA, MEXICO",
"Grants, NM",35.14726,-107.851446,10,01/29/25 - 05/02/26,"Assault, Homicide, Immigration, Kidnapping, Robbery","DOMINICAN REPUBLIC, MEXICO, UNITED STATES",
"Alberta, VA",36.8644303,-77.8862715,10,07/24/25 - 05/13/26,"Traffic Offenses, Weapon Offenses","EL SALVADOR, GUATEMALA, MEXICO, VENEZUELA",
"Halletsville, TX",29.4438528,-96.94109292,10,04/09/25 - 03/28/26,"Sexual Assault, Traffic Offenses","COSTA RICA, GUATEMALA, HONDURAS, MEXICO",
"Centreville, MI",41.9234455,-85.5287424,10,02/18/25 - 05/01/26,"Assault, Dangerous Drugs, Fraudulent Activities, General Crimes, Immigration, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police","EL SALVADOR, MEXICO",
"Grove Hill, AL",31.7087681,-87.7772218,10,04/15/25 - 05/18/26,"Assault, Dangerous Drugs, General Crimes, Traffic Offenses","GUATEMALA, MEXICO",
"Bayboro, NC",35.1429445,-76.7702093,10,05/09/25 - 03/14/26,"Assault, Dangerous Drugs, Fraudulent Activities, Robbery, Sexual Assault, Traffic Offenses, Weapon Offenses","GHANA, HONDURAS, MEXICO",
"Blackshear, GA",31.3042798,-82.2404922,10,02/18/25 - 03/31/26,"Assault, Dangerous Drugs, Forgery, General Crimes, Homicide, Traffic Offenses","GUATEMALA, JAMAICA, MEXICO, NICARAGUA, UNITED KINGDOM",
"Magnolia, MS",31.1432328,-90.4587081,10,04/22/25 - 02/24/26,"Conservation, General Crimes, Obstructing Judiciary, Congress, Legislature, Etc., Traffic Offenses","BARBADOS, BRAZIL, GUATEMALA, HONDURAS",
"Sant Maria, CA",34.9531295,-120.435857,10,06/02/25 - 02/24/26,"Assault, Burglary, Family Offenses, Immigration, Traffic Offenses","EL SALVADOR, MEXICO",
"Spearman, TX",36.1938947,-101.1921818,10,04/08/25 - 12/23/25,"Assault, Dangerous Drugs, Fraudulent Activities, General Crimes, Traffic Offenses","GUATEMALA, MEXICO",
"N Charleston, SC",32.8546197,-79.9748103,10,03/05/25 - 02/09/26,"Flight / Escape, General Crimes, Traffic Offenses","BRAZIL, HONDURAS, MEXICO, VENEZUELA",
"Del Ray Beach, FL",26.7205926,-80.0830044,10,01/27/25 - 01/28/25,"Assault, Immigration, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police","COLOMBIA, CUBA, GUATEMALA, HONDURAS, MEXICO",
"Carrolton, GA",33.5761369,-85.0767681,10,06/09/25 - 02/10/26,"Assault, Dangerous Drugs, Fraudulent Activities, Immigration, Traffic Offenses","CHINA, PEOPLES REPUBLIC OF, GUATEMALA, HONDURAS, MEXICO, NICARAGUA",
"Chardon, OH",41.5824944,-81.2034066,10,02/14/25 - 02/26/26,"Assault, General Crimes, Larceny, Obstructing the Police, Robbery, Traffic Offenses","EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, UKRAINE, VENEZUELA",
"Wapello, IA",41.0137597,-92.4140217,10,03/20/25 - 05/04/26,"Assault, Dangerous Drugs, Forgery, Fraudulent Activities, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Public Peace, Traffic Offenses","MEXICO, VENEZUELA",
"Washigton, DC",30.7558166,-88.1338014,10,08/16/25 - 11/01/25,"Immigration, Weapon Offenses","COLOMBIA, EL SALVADOR, GUATEMALA, VENEZUELA",
"Burnsville, NC",35.9172243,-82.2996695,10,04/10/25 - 04/23/26,"Assault, Dangerous Drugs, Family Offenses, Fraudulent Activities, Traffic Offenses","HONDURAS, MEXICO",
"Delzura, CA",33.1246329,-117.2440252,10,07/15/25 - 08/04/25,"Immigration, Traffic Offenses",MEXICO,
"Garnett, KS",38.2805772,-95.2419192,10,01/22/25 - 05/20/26,"Assault, Immigration, Obstructing Judiciary, Congress, Legislature, Etc., Traffic Offenses","COSTA RICA, HONDURAS, MEXICO",
"Wylie, TX",33.0151561,-96.5388038,10,04/04/25 - 05/02/26,"Assault, Dangerous Drugs, Obstructing the Police, Traffic Offenses, Weapon Offenses","EL SALVADOR, HONDURAS, MEXICO",
"Moore, TX",35.8156121,-101.9104355,10,12/09/25 - 12/24/25,,MEXICO,
"Heber Springs, AR",35.4976958,-92.0324875,10,04/12/25 - 05/15/26,"Dangerous Drugs, Fraudulent Activities, Liquor, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Traffic Offenses","GUATEMALA, HONDURAS, MEXICO",
"Cassville, MO",36.6770111,-93.868811,10,04/15/25 - 11/06/25,"Assault, Conservation, General Crimes, Immigration, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Traffic Offenses","GUATEMALA, MEXICO",
"Bowling Green, MO",39.3419891,-91.1951437,10,06/14/25 - 05/11/26,"Assault, Flight / Escape, Homicide, Traffic Offenses, Weapon Offenses","CUBA, EL SALVADOR, GUATEMALA, HONDURAS, MEXICO",
"Hillsdale, IN",39.7858714,-87.3902947,9,05/27/25 - 04/10/26,"Assault, Fraudulent Activities, General Crimes, Traffic Offenses","COLOMBIA, HONDURAS, MEXICO, NICARAGUA, NIGERIA, VENEZUELA",
"Waymart, PA",41.5803625,-75.4082366,9,02/07/25 - 03/12/26,"Assault, Burglary, Dangerous Drugs, Flight / Escape, Robbery, Sexual Assault, Weapon Offenses","CUBA, DOMINICAN REPUBLIC, GUATEMALA, HONDURAS, JAMAICA, MEXICO",
"New Roads, LA",30.6932528,-91.4342983,9,09/20/25 - 04/01/26,"Dangerous Drugs, Family Offenses, General Crimes, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Traffic Offenses","EL SALVADOR, HONDURAS, MEXICO",
"Gainsville, FL",29.6194176,-82.3601179,9,08/23/25 - 02/27/26,"Assault, Immigration, Larceny, Sex Offenses (Not Involving Assault or Commercialized Sex), Traffic Offenses","CUBA, GUATEMALA, HONDURAS, MEXICO",
"Guyman, TX",32.776717,-96.849178,9,02/21/25 - 05/20/26,"Assault, Fraudulent Activities, Traffic Offenses","CUBA, GUATEMALA, VENEZUELA",
"Rogersville, TN",36.407317,-83.0054423,9,01/30/25 - 05/13/26,"General Crimes, Traffic Offenses, Weapon Offenses","GUATEMALA, HONDURAS, MEXICO",
"Jefferson, NC",36.420403,-81.4734376,9,03/11/25 - 05/14/26,"Assault, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Sex Offenses (Not Involving Assault or Commercialized Sex), Traffic Offenses","GUATEMALA, HONDURAS, MEXICO, VENEZUELA",
"Bluffton, IN",40.7386579,-85.1716368,9,08/22/25 - 05/06/26,"Assault, Larceny, Traffic Offenses","GUATEMALA, MEXICO, VENEZUELA",
"Blanch, NC",36.5079178,-79.2950189,9,02/10/25 - 04/24/26,"Assault, Burglary, Dangerous Drugs, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Traffic Offenses","GUATEMALA, HONDURAS, JAMAICA, MEXICO",
"Conre, TX",30.3118769,-95.4560512,9,01/12/26 - 02/27/26,"Assault, Dangerous Drugs, Larceny, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Weapon Offenses","EL SALVADOR, HONDURAS, MEXICO, VENEZUELA",
"Coalville, UT",40.9177251,-111.3993634,9,01/28/25 - 11/18/25,"Damage Property, Dangerous Drugs, Forgery, Fraudulent Activities, General Crimes, Obstructing the Police, Traffic Offenses","COLOMBIA, GUATEMALA, HONDURAS, MEXICO, SERBIA",
"Spencer, IN",38.0288806,-86.9976446,9,08/06/25 - 05/05/26,"Dangerous Drugs, General Crimes, Traffic Offenses","EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, NICARAGUA",
"Mineapolis, MN",44.9772995,-93.2654692,9,04/09/25 - 01/22/26,"Assault, Flight / Escape, Fraudulent Activities, Larceny, Traffic Offenses, Weapon Offenses","ECUADOR, EL SALVADOR, HONDURAS, LIBERIA, MEXICO, VENEZUELA",
"Ocilla, GA",31.5943567,-83.2504328,9,02/11/25 - 04/01/26,"Burglary, Family Offenses, Larceny, Stolen Property, Traffic Offenses","GUATEMALA, INDIA, MEXICO, VENEZUELA",
"Carrizozo, NM",33.6451866,-105.8775111,9,03/13/25 - 04/21/26,"Assault, Dangerous Drugs, Kidnapping, Larceny, Sex Offenses (Not Involving Assault or Commercialized Sex), Traffic Offenses","MEXICO, UNITED STATES, VENEZUELA",
"Thief River Falls, MN",48.1172301,-96.1770667,9,02/21/25 - 03/23/26,"Assault, Fraudulent Activities, General Crimes, Stolen Property, Traffic Offenses","ECUADOR, LAOS, NICARAGUA, SOUTH AFRICA",
"Olivia, MN",44.77635,-94.9897214,9,03/03/25 - 03/03/26,"Assault, Dangerous Drugs, Fraudulent Activities, General Crimes, Invasion of Privacy, Public Peace, Traffic Offenses","CHINA, PEOPLES REPUBLIC OF, HONDURAS, MEXICO, NICARAGUA",
"Fairfax, SC",32.9585379,-81.2372124,9,01/31/25 - 05/19/26,"Assault, Dangerous Drugs, Homicide, Obstructing the Police, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault","ECUADOR, EL SALVADOR, GUATEMALA, MEXICO, NIGERIA",
"Rockport, IN",37.8831055,-87.0494408,9,05/18/25 - 12/16/25,"Assault, Forgery, Obstructing the Police, Traffic Offenses","EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, VENEZUELA",
"Fredricksburg, TX",32.7441457,-96.5583046,9,09/24/25 - 05/13/26,Immigration,"HONDURAS, MEXICO",
"Montague, TX",33.6205753,-97.7215754,9,01/27/25 - 03/11/26,"Assault, Dangerous Drugs, Invasion of Privacy, Larceny, Traffic Offenses","HONDURAS, MEXICO, NICARAGUA, VENEZUELA",
"Basile, LA",30.4849348,-92.5993935,9,08/05/25 - 05/06/26,"Assault, Invasion of Privacy, Larceny, Traffic Offenses","COLOMBIA, GUATEMALA, HONDURAS, JAMAICA, MEXICO, VENEZUELA",
"Pikeville, TN",35.6054921,-85.1892276,9,05/28/25 - 05/10/26,"Assault, Dangerous Drugs, Traffic Offenses","GUATEMALA, HONDURAS, IRAQ, MEXICO, NICARAGUA",
"Anthony, KS",37.1533554,-98.0311728,8,02/08/25 - 04/08/26,"Assault, Damage Property, Kidnapping, Traffic Offenses","GUATEMALA, MEXICO, VENEZUELA",
"Linden, AL",32.3062535,-87.7980665,8,03/18/25 - 05/06/26,"Assault, Fraudulent Activities, Liquor, Traffic Offenses","GUATEMALA, HONDURAS, MEXICO, VENEZUELA",
"Humboldt, IA",42.7756032,-94.1956133,8,02/04/25 - 05/08/26,"Assault, Dangerous Drugs, Fraudulent Activities, General Crimes, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Traffic Offenses","GUATEMALA, HONDURAS, MEXICO",
"Suffield, CT",41.9816944,-72.6506604,8,04/30/25 - 03/18/26,"Assault, Burglary, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault","ECUADOR, GUATEMALA, MEXICO, PERU",
"Mount Vernon, MO",37.1036666,-93.8185401,8,02/10/25 - 03/13/26,"Assault, Public Peace, Traffic Offenses","GUATEMALA, MEXICO, VENEZUELA",
"Homer, LA",32.7918133,-93.055718,8,02/08/25 - 04/09/26,"Assault, Sexual Assault, Traffic Offenses, Weapon Offenses","GUATEMALA, HONDURAS, MEXICO, NICARAGUA",
"Whiteville, TN",35.3262451,-89.1505724,8,03/21/25 - 05/18/26,"Assault, Dangerous Drugs, Forgery, Public Peace, Sexual Assault","CUBA, GUATEMALA, HONDURAS, MEXICO",
"Jamestown, ND",46.910544,-98.708436,8,02/11/25 - 04/06/26,"Assault, Dangerous Drugs, Flight / Escape, Kidnapping, Sex Offenses (Not Involving Assault or Commercialized Sex)","CAMEROON, EL SALVADOR, JAMAICA, MEXICO, SOMALIA, VENEZUELA",
"Fowler, IN",40.6167044,-87.3208519,8,08/03/25 - 05/05/26,"Assault, Burglary, Obstructing the Police, Traffic Offenses","GUATEMALA, HONDURAS, MEXICO, VENEZUELA",
"Park Rapids, MN",46.9221813,-95.0586322,8,01/27/25 - 03/19/26,"Assault, Burglary, Damage Property, Immigration, Larceny, Public Peace","GUATEMALA, HONDURAS, VENEZUELA",✅
"Saint Clairsville, OH",40.0806266,-80.9000916,8,09/15/25 - 04/17/26,"Burglary, Flight / Escape, Traffic Offenses, Weapon Offenses","DEM REP OF THE CONGO, GHANA, HONDURAS, MEXICO",
"Harrison, MI",44.0192188,-84.7997872,8,04/19/25 - 02/27/26,"Assault, Dangerous Drugs, Fraudulent Activities, General Crimes, Stolen Property, Traffic Offenses","CHINA, PEOPLES REPUBLIC OF, CUBA, GUATEMALA, MEXICO, VENEZUELA",
