name,total,dates,charges,countries,gang,all_american
"Detroit, MI",1696,01/21/25 - 05/20/26,"Arson, Assault, Burglary, Damage Property, Dangerous Drugs, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Health / Safety, Homicide, Immigration, Invasion of Privacy, Larceny, Liquor, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Stolen Vehicle, Traffic Offenses, Weapon Offenses","AFGHANISTAN, ALBANIA, ALGERIA, ARGENTINA, BAHAMAS, BANGLADESH, BELIZE, BENIN, BRAZIL, CAMBODIA, CAMEROON, CANADA, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, CONGO, COSTA RICA, CUBA, DOMINICAN REPUBLIC, ECUADOR, EGYPT, EL SALVADOR, ETHIOPIA, GAMBIA, GHANA, GUATEMALA, GUINEA, GUINEA-BISSAU, HAITI, HONDURAS, INDIA, IRAN, IRAQ, ISRAEL, IVORY COAST, JAMAICA, JORDAN, LAOS, LEBANON, LIBERIA, MALI, MAURITANIA, MEXICO, MONTENEGRO, MOROCCO, NEPAL, NICARAGUA, NIGERIA, PAKISTAN, PERU, PHILIPPINES, PORTUGAL, ROMANIA, RUSSIA, SAUDI ARABIA, SENEGAL, SIERRA LEONE, SPAIN, STATELESS, SYRIA, THAILAND, TURKIYE, UNITED STATES, UZBEKISTAN, VENEZUELA, VIETNAM, YEMEN",✅,0
"Santa Ana, CA",1667,01/20/25 - 05/20/26,"Arson, Assault, Bribery, Burglary, Commercialized Sexual Offenses, Damage Property, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Health / Safety, Homicide, Immigration, Invasion of Privacy, Kidnapping, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Sovereignty, Stolen Property, Stolen Vehicle, Threat, Traffic Offenses, Weapon Offenses","AFGHANISTAN, ALGERIA, AZERBAIJAN, BANGLADESH, BELARUS, BELIZE, BOLIVIA, BRUNEI, CAMBODIA, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, CUBA, ECUADOR, EGYPT, EL SALVADOR, ERITREA, ETHIOPIA, FRANCE, GERMANY, GUATEMALA, GUINEA, HONDURAS, INDIA, INDONESIA, IRAN, IRAQ, ISRAEL, ITALY, JAMAICA, JORDAN, KAZAKHSTAN, KENYA, KOREA, KUWAIT, KYRGYZSTAN, LAOS, LEBANON, MEXICO, MONGOLIA, NEW ZEALAND, NICARAGUA, NIGERIA, PAKISTAN, PERU, PHILIPPINES, POLAND, ROMANIA, RUSSIA, SAUDI ARABIA, SOUTH KOREA, SRI LANKA, STATELESS, SUDAN, SYRIA, THAILAND, TURKIYE, UKRAINE, UNITED KINGDOM, UNITED STATES, UNKNOWN, VENEZUELA, VIETNAM, ZIMBABWE",✅,0
"East Boston, MA",1617,01/22/25 - 05/20/26,"Assault, Burglary, Damage Property, Dangerous Drugs, Family Offenses, Forgery, Fraudulent Activities, General Crimes, Homicide, Immigration, Invasion of Privacy, Kidnapping, Larceny, Liquor, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Stolen Vehicle, Traffic Offenses, Weapon Offenses","ARGENTINA, AZERBAIJAN, BELARUS, BRAZIL, CAMBODIA, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, COSTA RICA, CZECH REPUBLIC, DOMINICA, DOMINICAN REPUBLIC, ECUADOR, EGYPT, EL SALVADOR, GEORGIA, GUATEMALA, HAITI, HONDURAS, INDIA, INDONESIA, JORDAN, KENYA, MEXICO, NICARAGUA, NIGERIA, PANAMA, PERU, RUSSIA, SLOVENIA, TURKIYE, UNITED KINGDOM, UNITED STATES, URUGUAY, VENEZUELA, VIETNAM",✅,0
"El Centro, CA",1608,01/22/25 - 05/20/26,"Arson, Assault, Burglary, Commercialized Sexual Offenses, Damage Property, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Health / Safety, Homicide, Immigration, Invasion of Privacy, Kidnapping, Larceny, Liquor, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Sovereignty, Stolen Property, Stolen Vehicle, Threat, Traffic Offenses, Weapon Offenses","ARGENTINA, BRAZIL, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, CUBA, ECUADOR, EL SALVADOR, GUATEMALA, HONDURAS, INDIA, MEXICO, NICARAGUA, PERU, ROMANIA, RUSSIA, SOMALIA, SUDAN, TURKIYE, UNITED KINGDOM, UNITED STATES, VENEZUELA, VIETNAM, YEMEN",✅,0
"Tallahassee, FL",1516,01/21/25 - 05/20/26,"Assault, Bribery, Burglary, Commercialized Sexual Offenses, Damage Property, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Health / Safety, Homicide, Immigration, Invasion of Privacy, Juvenile Offenders, Kidnapping, Larceny, Liquor, Obscenity, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Smuggling, Stolen Vehicle, Traffic Offenses, Weapon Offenses","ARGENTINA, AZERBAIJAN, BAHAMAS, BANGLADESH, BARBADOS, BOLIVIA, BRAZIL, BURKINA FASO, BURMA, CANADA, CHILE, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, COSTA RICA, CROATIA, CUBA, CZECH REPUBLIC, DOMINICA, DOMINICAN REPUBLIC, ECUADOR, EGYPT, EL SALVADOR, EQUATORIAL GUINEA, ETHIOPIA, GUATEMALA, GUYANA, HAITI, HONDURAS, INDIA, INDONESIA, IRAQ, ITALY, IVORY COAST, JAMAICA, JORDAN, KAZAKHSTAN, KYRGYZSTAN, LATVIA, LITHUANIA, MEXICO, NEPAL, NETHERLANDS, NICARAGUA, NIGERIA, PAKISTAN, PANAMA, PERU, ROMANIA, RUSSIA, SERBIA, SOUTH AFRICA, STATELESS, TAJIKISTAN, THAILAND, TURKIYE, UNITED KINGDOM, UNITED STATES, UZBEKISTAN, VENEZUELA, VIETNAM",✅,0
"Fort Lauderdale, FL",1431,01/20/25 - 05/20/26,"Arson, Assault, Bribery, Burglary, Commercialized Sexual Offenses, Damage Property, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Homicide, Immigration, Invasion of Privacy, Kidnapping, Larceny, Liquor, Obscenity, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Smuggling, Stolen Property, Stolen Vehicle, Traffic Offenses, Weapon Offenses","ANDORRA, ANGOLA, ANTIGUA-BARBUDA, ARGENTINA, BAHAMAS, BANGLADESH, BELARUS, BOLIVIA, BOSNIA-HERZEGOVINA, BRAZIL, BULGARIA, BURKINA FASO, CANADA, CHILE, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, COSTA RICA, CUBA, DOMINICAN REPUBLIC, ECUADOR, EGYPT, EL SALVADOR, EQUATORIAL GUINEA, ESTONIA, FRANCE, GEORGIA, GREECE, GRENADA, GUATEMALA, GUYANA, HAITI, HONDURAS, HUNGARY, INDIA, IRAQ, ISRAEL, ITALY, IVORY COAST, JAMAICA, JORDAN, KAZAKHSTAN, KENYA, LITHUANIA, MAURITANIA, MEXICO, MOLDOVA, NICARAGUA, NIGERIA, PAKISTAN, PANAMA, PERU, PHILIPPINES, POLAND, PORTUGAL, ROMANIA, RUSSIA, SAUDI ARABIA, SOUTH AFRICA, SPAIN, SURINAME, TRINIDAD AND TOBAGO, TURKIYE, TURKS AND CAICOS ISLANDS, UKRAINE, UNITED KINGDOM, UNITED STATES, URUGUAY, USSR, UZBEKISTAN, VENEZUELA, VIETNAM",✅,0
"Naples, FL",1397,01/21/25 - 05/20/26,"Assault, Burglary, Commercialized Sexual Offenses, Conservation, Damage Property, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, Gambling, General Crimes, Homicide, Immigration, Invasion of Privacy, Kidnapping, Larceny, Liquor, Obscenity, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Stolen Property, Stolen Vehicle, Threat, Traffic Offenses, Weapon Offenses","ARGENTINA, BAHAMAS, BELIZE, BOLIVIA, BOSNIA-HERZEGOVINA, BRAZIL, BULGARIA, CANADA, CHILE, COLOMBIA, COSTA RICA, CUBA, CZECHOSLOVAKIA, DOMINICAN REPUBLIC, ECUADOR, EL SALVADOR, GUATEMALA, HAITI, HONDURAS, INDIA, IRAN, ISRAEL, ITALY, JAMAICA, LATVIA, MEXICO, MONTENEGRO, NICARAGUA, PERU, POLAND, ROMANIA, RUSSIA, SPAIN, TRINIDAD AND TOBAGO, TURKIYE, UNITED KINGDOM, UNITED STATES, URUGUAY, UZBEKISTAN, VENEZUELA",✅,0
"North Charleston, SC",1383,01/21/25 - 05/20/26,"Assault, Bribery, Burglary, Commercialized Sexual Offenses, Conservation, Damage Property, Dangerous Drugs, Embezzlement, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, Gambling, General Crimes, Health / Safety, Homicide, Immigration, Invasion of Privacy, Kidnapping, Larceny, Liquor, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Stolen Property, Traffic Offenses, Weapon Offenses","ALBANIA, ARGENTINA, AZERBAIJAN, BAHAMAS, BOLIVIA, BRAZIL, CHILE, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, COSTA RICA, CUBA, DOMINICAN REPUBLIC, ECUADOR, EGYPT, EL SALVADOR, GUATEMALA, HONDURAS, INDIA, ITALY, JAMAICA, JORDAN, KAZAKHSTAN, LAOS, MAURITANIA, MEXICO, MOLDOVA, MOROCCO, NICARAGUA, PERU, RUSSIA, SENEGAL, SPAIN, ST. VINCENT-GRENADINES, TAIWAN, UKRAINE, UNITED KINGDOM, UNITED STATES, VENEZUELA, VIETNAM",✅,0
"Fresno, CA",1264,01/23/25 - 05/20/26,"Arson, Assault, Burglary, Damage Property, Dangerous Drugs, Embezzlement, Extortion, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Health / Safety, Homicide, Immigration, Kidnapping, Larceny, Obscenity, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Stolen Property, Stolen Vehicle, Threat, Traffic Offenses, Weapon Offenses","AFGHANISTAN, ARGENTINA, ARMENIA, BELIZE, BOLIVIA, CAMBODIA, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, CUBA, DEM REP OF THE CONGO, DOMINICA, ECUADOR, EL SALVADOR, ETHIOPIA, FIJI, GUATEMALA, HAITI, HONDURAS, INDIA, IRAN, ISRAEL, KOREA, LAOS, MEXICO, NICARAGUA, NIGERIA, PERU, PHILIPPINES, PORTUGAL, RUSSIA, SYRIA, THAILAND, TURKIYE, UNITED STATES, VENEZUELA, VIETNAM, YEMEN",✅,0
"Panama City, FL",1211,01/28/25 - 05/20/26,"Assault, Burglary, Commercialized Sexual Offenses, Conservation, Damage Property, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Immigration, Invasion of Privacy, Kidnapping, Larceny, Liquor, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Stolen Property, Traffic Offenses, Weapon Offenses","BAHAMAS, BELIZE, BOLIVIA, BRAZIL, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, CUBA, CZECH REPUBLIC, CZECHOSLOVAKIA, DOMINICAN REPUBLIC, ECUADOR, EGYPT, EL SALVADOR, GUATEMALA, GUYANA, HAITI, HONDURAS, INDIA, INDONESIA, ITALY, JAMAICA, JORDAN, LATVIA, MAURITANIA, MEXICO, NICARAGUA, PANAMA, PERU, ROMANIA, RUSSIA, SOUTH AFRICA, THAILAND, TURKIYE, UKRAINE, UNITED STATES, UNKNOWN, UZBEKISTAN, VENEZUELA, VIETNAM, ZIMBABWE",✅,0
"Richmond, VA",1208,01/24/25 - 05/20/26,"Assault, Burglary, Commercialized Sexual Offenses, Dangerous Drugs, Embezzlement, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Homicide, Immigration, Invasion of Privacy, Kidnapping, Larceny, Liquor, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Traffic Offenses, Weapon Offenses","AFGHANISTAN, BANGLADESH, BOLIVIA, BRAZIL, BURMA, BURUNDI, CAMBODIA, CAMEROON, CHILE, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, COSTA RICA, CUBA, DOMINICAN REPUBLIC, ECUADOR, EGYPT, EL SALVADOR, EQUATORIAL GUINEA, GERMANY, GHANA, GUATEMALA, GUINEA, HAITI, HONDURAS, INDIA, ITALY, JAMAICA, JORDAN, KENYA, LAOS, LIBERIA, LIBYA, MAURITANIA, MEXICO, NEPAL, NICARAGUA, PAKISTAN, PALESTINE BORN BEFORE 1948, PANAMA, PERU, RUSSIA, SENEGAL, SIERRA LEONE, SOUTH SUDAN, ST. LUCIA, STATELESS, SUDAN, SYRIA, TANZANIA, TOGO, UGANDA, UNITED STATES, UNKNOWN, UZBEKISTAN, VENEZUELA, VIETNAM",✅,0
"Columbus, OH",1160,01/22/25 - 05/20/26,"Assault, Burglary, Commercialized Sexual Offenses, Dangerous Drugs, Extortion, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Homicide, Immigration, Invasion of Privacy, Kidnapping, Larceny, Liquor, Military, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Smuggling, Stolen Property, Stolen Vehicle, Threat, Traffic Offenses, Weapon Offenses","ALGERIA, ARGENTINA, BAHAMAS, BHUTAN, BOLIVIA, BRAZIL, CAMEROON, CHILE, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, CUBA, DOMINICAN REPUBLIC, ECUADOR, EGYPT, EL SALVADOR, ETHIOPIA, FRANCE, GAMBIA, GHANA, GUATEMALA, GUINEA, GUINEA-BISSAU, HAITI, HONDURAS, INDIA, ISRAEL, JAMAICA, JORDAN, LAOS, MAURITANIA, MEXICO, MOLDOVA, NICARAGUA, NIGERIA, PAKISTAN, PERU, ROMANIA, SENEGAL, SIERRA LEONE, SOMALIA, UNITED STATES, VENEZUELA",✅,0
"Calexico, CA",1121,02/23/25 - 05/20/26,"Arson, Assault, Burglary, Damage Property, Dangerous Drugs, Family Offenses, Flight / Escape, Fraudulent Activities, General Crimes, Homicide, Immigration, Larceny, Liquor, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Stolen Vehicle, Threat, Traffic Offenses, Weapon Offenses","BELARUS, BOLIVIA, BRAZIL, CANADA, CHILE, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, CUBA, ECUADOR, EL SALVADOR, ERITREA, GEORGIA, GUATEMALA, HAITI, HONDURAS, HONG KONG, INDIA, ITALY, JORDAN, KAZAKHSTAN, KYRGYZSTAN, LAOS, MEXICO, NETHERLANDS, NICARAGUA, PERU, PHILIPPINES, ROMANIA, RUSSIA, SOMALIA, SOUTH KOREA, TAIWAN, TAJIKISTAN, TURKIYE, UKRAINE, UNITED KINGDOM, UNITED STATES, UZBEKISTAN, VENEZUELA, VIETNAM",✅,0
"Lubbock, TX",1074,01/22/25 - 05/20/26,"Arson, Assault, Burglary, Commercialized Sexual Offenses, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, Gambling, General Crimes, Health / Safety, Immigration, Invasion of Privacy, Larceny, Liquor, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Stolen Vehicle, Threat, Traffic Offenses, Weapon Offenses","AFGHANISTAN, ANGOLA, AUSTRALIA, BARBADOS, BOLIVIA, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, COSTA RICA, CUBA, EL SALVADOR, GHANA, GUATEMALA, HONDURAS, HUNGARY, INDIA, IRAN, KENYA, MEXICO, NICARAGUA, NIGERIA, PARAGUAY, PERU, PHILIPPINES, ROMANIA, SERBIA, SRI LANKA, TOGO, UNITED STATES, URUGUAY, VENEZUELA, VIETNAM",,0
"Tucson, AZ",1054,01/23/25 - 05/20/26,"Arson, Assault, Bribery, Burglary, Conservation, Damage Property, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Homicide, Immigration, Kidnapping, Larceny, Liquor, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Stolen Property, Stolen Vehicle, Threat, Traffic Offenses, Weapon Offenses","AFGHANISTAN, AUSTRALIA, AZERBAIJAN, BANGLADESH, BOLIVIA, CANADA, CHAD, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, COSTA RICA, CUBA, DOMINICAN REPUBLIC, ECUADOR, EGYPT, EL SALVADOR, GERMANY, GUATEMALA, HAITI, HONDURAS, IRAN, IRAQ, JAMAICA, JORDAN, LAOS, LEBANON, LIBERIA, MAURITANIA, MEXICO, MICRONESIA, FEDERATED STATES OF, MOROCCO, NICARAGUA, NIGERIA, PANAMA, PERU, ROMANIA, RWANDA, SAUDI ARABIA, SOUTH SUDAN, SUDAN, THAILAND, TONGA, TRINIDAD AND TOBAGO, TURKIYE, UNITED KINGDOM, UNITED STATES, VENEZUELA, VIETNAM",✅,0
"Corpus Christi, TX",1044,01/22/25 - 05/19/26,"Assault, Bribery, Burglary, Commercialized Sexual Offenses, Damage Property, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Immigration, Invasion of Privacy, Larceny, Liquor, Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Smuggling, Stolen Property, Stolen Vehicle, Traffic Offenses, Weapon Offenses","CANADA, CHILE, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, COSTA RICA, CUBA, ECUADOR, EGYPT, EL SALVADOR, GUATEMALA, HONDURAS, INDIA, ISRAEL, JAMAICA, MALAYSIA, MEXICO, NICARAGUA, PHILIPPINES, POLAND, PORTUGAL, UNITED STATES, VENEZUELA",✅,0
"Omaha, NE",1016,01/21/25 - 05/20/26,"Arson, Assault, Burglary, Commercialized Sexual Offenses, Conservation, Damage Property, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Homicide, Immigration, Invasion of Privacy, Kidnapping, Larceny, Liquor, Obscenity, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Stolen Property, Stolen Vehicle, Threat, Traffic Offenses, Weapon Offenses","AFGHANISTAN, AUSTRALIA, BAHAMAS, BHUTAN, BOLIVIA, BRAZIL, BURMA, CANADA, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, COSTA RICA, CUBA, DOMINICAN REPUBLIC, ECUADOR, EL SALVADOR, ETHIOPIA, GHANA, GUATEMALA, HONDURAS, INDIA, IRAQ, IVORY COAST, LIBERIA, MEXICO, MICRONESIA, FEDERATED STATES OF, NICARAGUA, NIGERIA, PERU, SAUDI ARABIA, SENEGAL, SOMALIA, SOUTH SUDAN, SPAIN, ST. KITTS-NEVIS, SUDAN, SYRIA, TAJIKISTAN, TANZANIA, THAILAND, TOGO, UKRAINE, UNITED STATES, UZBEKISTAN, VENEZUELA, VIETNAM, ZIMBABWE",✅,0
"Eagle Pass, TX",1011,01/26/25 - 05/15/26,"Arson, Assault, Burglary, Commercialized Sexual Offenses, Dangerous Drugs, Fraudulent Activities, General Crimes, Immigration, Larceny, Liquor, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Smuggling, Stolen Property, Stolen Vehicle, Threat, Traffic Offenses, Weapon Offenses","COLOMBIA, CUBA, ECUADOR, EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, MOLDOVA, NICARAGUA, PAKISTAN, PERU, SPAIN, SYRIA, UNITED STATES, VENEZUELA",✅,0
"Mesa, AZ",970,01/29/25 - 05/19/26,"Assault, Burglary, Civil Rights, Commercialized Sexual Offenses, Conservation, Damage Property, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Homicide, Immigration, Invasion of Privacy, Larceny, Liquor, Obscenity, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Stolen Property, Stolen Vehicle, Traffic Offenses, Weapon Offenses","BELIZE, BOLIVIA, CANADA, CHILE, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, CUBA, DOMINICAN REPUBLIC, ECUADOR, EL SALVADOR, GUATEMALA, HONDURAS, INDIA, IRAN, ISRAEL, JAMAICA, KENYA, MEXICO, NICARAGUA, NIGERIA, PERU, ROMANIA, SYRIA, TURKIYE, UGANDA, UNITED STATES, VENEZUELA, VIETNAM",✅,0
"San Ysidro, CA",958,02/08/25 - 05/16/26,"Assault, Burglary, Commercialized Sexual Offenses, Damage Property, Dangerous Drugs, Family Offenses, Fraudulent Activities, General Crimes, Homicide, Immigration, Invasion of Privacy, Kidnapping, Larceny, Liquor, Obstructing the Police, Robbery, Sexual Assault, Stolen Property, Stolen Vehicle, Threat, Traffic Offenses, Weapon Offenses","AFGHANISTAN, ARGENTINA, BELARUS, BELIZE, BOLIVIA, CAMEROON, CANADA, CHILE, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, CUBA, ECUADOR, EGYPT, EL SALVADOR, ERITREA, ETHIOPIA, FRANCE, GUATEMALA, GUINEA, HAITI, HONDURAS, INDIA, IRAN, ISRAEL, JAPAN, JORDAN, KAZAKHSTAN, MEXICO, MOROCCO, PAKISTAN, PANAMA, PERU, PHILIPPINES, RUSSIA, SOUTH KOREA, SPAIN, TURKIYE, UGANDA, UKRAINE, UNITED KINGDOM, UNITED STATES, VENEZUELA, VIETNAM",,0
"Buffalo, NY",929,01/23/25 - 05/19/26,"Assault, Burglary, Commercialized Sexual Offenses, Damage Property, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Homicide, Immigration, Invasion of Privacy, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Stolen Property, Threat, Traffic Offenses, Weapon Offenses","AFGHANISTAN, ALBANIA, ALGERIA, ANGOLA, AZERBAIJAN, BAHRAIN, BANGLADESH, BELARUS, BENIN, BOLIVIA, BOTSWANA, BRAZIL, BURMA, BURUNDI, CAMEROON, CANADA, CHAD, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, CONGO, COSTA RICA, CUBA, DEM REP OF THE CONGO, DOMINICAN REPUBLIC, ECUADOR, EGYPT, EL SALVADOR, ERITREA, ETHIOPIA, GEORGIA, GHANA, GUATEMALA, GUINEA, GUINEA-BISSAU, GUYANA, HAITI, HONDURAS, INDIA, INDONESIA, IRAN, IRAQ, ITALY, JAMAICA, JORDAN, KAZAKHSTAN, KENYA, KYRGYZSTAN, LAOS, LIBYA, MALAWI, MAURITANIA, MEXICO, MOROCCO, NEPAL, NICARAGUA, NIGERIA, PAKISTAN, PANAMA, PERU, PORTUGAL, ROMANIA, RUSSIA, SENEGAL, SINGAPORE, SOMALIA, SPAIN, SRI LANKA, ST. LUCIA, SUDAN, TAIWAN, TAJIKISTAN, TURKIYE, UGANDA, UKRAINE, UNITED STATES, UNKNOWN, UZBEKISTAN, VENEZUELA, VIETNAM, YEMEN, ZIMBABWE",✅,0
"Louisville, KY",903,01/21/25 - 05/20/26,"Arson, Assault, Burglary, Damage Property, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Homicide, Immigration, Invasion of Privacy, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Stolen Property, Stolen Vehicle, Threat, Traffic Offenses, Weapon Offenses","AFGHANISTAN, ANGOLA, BOLIVIA, BOSNIA-HERZEGOVINA, BURKINA FASO, CHILE, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, CUBA, DEM REP OF THE CONGO, ECUADOR, EGYPT, EL SALVADOR, FRANCE, GHANA, GUATEMALA, HAITI, HONDURAS, INDIA, IRAN, IRAQ, JORDAN, KENYA, LIBERIA, MAURITANIA, MEXICO, MOLDOVA, NETHERLANDS, NICARAGUA, NIGERIA, PALAU, PERU, PHILIPPINES, ROMANIA, RUSSIA, SAUDI ARABIA, SENEGAL, SOMALIA, SOUTH AFRICA, SPAIN, SUDAN, TANZANIA, UNITED KINGDOM, UNITED STATES, VENEZUELA, VIETNAM",✅,0
"West Valley City, UT",900,01/20/25 - 05/20/26,"Arson, Assault, Burglary, Commercialized Sexual Offenses, Conservation, Damage Property, Dangerous Drugs, Family Offenses, Forgery, Fraudulent Activities, General Crimes, Homicide, Immigration, Invasion of Privacy, Kidnapping, Larceny, Liquor, Obscenity, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Smuggling, Stolen Property, Stolen Vehicle, Tax Revenue, Threat, Traffic Offenses, Weapon Offenses","AFGHANISTAN, ALBANIA, ARGENTINA, ARMENIA, BOLIVIA, BRAZIL, BURUNDI, CHILE, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, CUBA, DEM REP OF THE CONGO, ECUADOR, EL SALVADOR, GAMBIA, GUATEMALA, HONDURAS, INDIA, IRAN, ITALY, LAOS, MARSHALL ISLANDS, MEXICO, NEW ZEALAND, NICARAGUA, NIGERIA, PALAU, PERU, ROMANIA, SAMOA, SAUDI ARABIA, SOMALIA, SOUTH SUDAN, SPAIN, SUDAN, THAILAND, TONGA, UKRAINE, UNITED STATES, UZBEKISTAN, VENEZUELA, VIETNAM",✅,0
